"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","犯罪分子的安全港"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","阿斯托茨卡名声狼藉"
"news:LOSING_GUARDS","Ministries Fight Over Staff","各部委争夺人才"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","大量需求合格的警卫、士兵"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","边境地区的整合与重组"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","更少的卫兵如何保证边境安全？"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","葛瑞斯汀的事件凸显了安全危机"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","预计会出现更多的违规事件"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","葛瑞斯汀边检站遭遇疯狂的自行车袭击"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","极端分子愈发大胆 - 葛瑞斯汀如磁石般吸引着他们"
"news:BORDER_TARGETED","Can The Wall Hold?","边境还能撑多久？"
"news:BORDER_TARGETED","Border Safety Continually Questioned","边境安全问题持续被质疑"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","有组织的边境破坏行为！"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","不知名的袭击者压制了警卫"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","阿斯托茨卡脆弱的边境"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","共和联邦的记者曝光了松散的规定"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","阿斯托茨卡的铁闸"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","国际记者曝光了入境签证的偏见"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","又一个自杀式炸弹袭击者偷溜入境"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","入境检查出现问题"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","出入境管理局迎来新部长"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","承诺在边境实施更严格的规定"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","安太格里亚监视公民的行为被曝光！"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","告密者在逃"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","安太格里亚告密者向里帕布里亚申请政治避难被拒绝"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","共和联邦拒绝安太格里亚告密者入境"
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","阿斯托茨卡接纳了安太格里亚告密者"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","此行为将面临激怒邻邦的风险"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","安太格里亚告密者已入境 - 但马上就消失了"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","安太格里亚告密者被拒签 - 行踪成迷"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","印波抗议不平衡的贸易限制"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","声称阿斯托茨卡针对印波商品征收不公平的贸易税"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","印波开始贸易制裁！"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","即刻起限制任何从阿斯托茨卡的进口产品"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","印波结束贸易制裁！"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","这么快就结束了？到底发生了什么？"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","有重大突破的脊柱外科手术进一步完善"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","但仅有阿斯托茨卡的专家才可能完成"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","脊髓灰质炎在共和联邦又出现了"
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","隔离诊断还是有更好的方法？"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","全面爆发的传染病威胁共和联邦！"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","本已被控制的脊髓灰质炎又重新出现"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","卫生部加紧行动以保护公民"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","边境启用新的政策和安全措施"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","连环儿童杀手从共和联邦监狱越狱！"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","西蒙•温斯：这个阿斯托茨卡人要回来了吗？"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","金尼斯托拉惨案！"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","西蒙•温斯的尸体在一堆凌乱的物品中被找到"
"news:EZIC_ATTACK0","Grestin Metro Halted","葛瑞斯汀地铁停工"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","隧道塌陷，疑似有人暗中破坏"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","帕拉迪兹纳市市政府总部紧急疏散！"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","探测到浓烈的煤气 - 全员安全，政府记录丢失"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","财政部部长失踪！"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","市场反应强烈，快速抛售，非常不稳定"
"news:POISONING","Mysterious Poison Hospitalizes Several!","神秘的中毒事件致使多人入院治疗！"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","不知名的入境者走私剧毒药剂"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","高层会晤召开"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","葛瑞斯汀领土问题依然存在争议"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","科勒齐亚人疯了"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","最高谈判者的奇怪举动破坏了整个会谈"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","临时协议"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","科勒齐亚会晤建立了共同的信任基础"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","科勒齐亚决议受到阻碍"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","针对特定城市的争议是主要阻碍因素"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","葛瑞斯汀边检站的未来无法预测"
"news:BORDER_CLOSING","Too Open, Too Soon?","太疏于审核还是太操之过急？"
"text:language_code","en","ZH"
"text:language_name","ENGLISH","简体中文"
"text:language_author","Author","Eric Shen"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","Lucas Pope 制作"
"text:papers_please","Papers, please.","Papers, please."
"text:protocol_violated","Protocol Violated.","违反规章"
"text:unauth_confiscation","Unauthorized passport confiscation","未授权的护照没收行为"
"text:missing_reason","Denial reason not given","未指明理由的拒签"
"text:citation_warning","WARNING ISSUED - NO PENALTY","警告 - 无罚款"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","最后一次警告 - 无罚款"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","处罚评估 - $0 分"
"text:border_next","NEXT!","下一个！"
"text:border_bomber","FOR KOLECHIA!","为了科勒齐亚！"
"text:border_comeback","COME BACK AT 6AM TOMORROW","明天早上6点再过来"
"text:border_announce0","ENTRY IS NOT GUARANTEED","不保证入境"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","准备好你的文件"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","阿斯托茨卡欢迎你"
"text:border_guardout","OUT!","出去！"
"text:border_elisa","ELISA!","ELISA！"
"text:family_son_budget","SON","儿子"
"text:family_wife_budget","WIFE","妻子"
"text:family_niece_budget","NIECE","侄女"
"text:family_uncle_budget","UNCLE","叔叔"
"text:family_mil_budget","MIL","岳母"
"text:family_son_status","Son","儿子"
"text:family_wife_status","Wife","妻子"
"text:family_niece_status","Niece","侄女"
"text:family_uncle_status","Uncle","叔叔"
"text:family_mil_status","Mother-in-law","岳母"
"text:family_son_message","son","儿子"
"text:family_wife_message","wife","妻子"
"text:family_niece_message","niece","侄女"
"text:family_uncle_message","uncle","叔叔"
"text:family_mil_message","mother-in-law","岳母"
"text:night_endof","END OF","结束"
"text:night_day","DAY $0","天 $0"
"text:family_verysick_1","Your $0 will die without medicine.","没有足够的药品将导致你的$0死亡。"
"text:family_verysick_many","Very sick family members will die without medicine.","严重患病的家庭成员会因为没有药而死亡。"
"text:family_sick_1","Your $0 is sick and needs medicine.","你的$0因为患病需要药品。"
"text:family_sick_many","Your family needs medicine.","你的家庭需要药品。"
"text:family_died_1","Your $0 has died.","你的$0死了。"
"text:family_died_2","Your $0 and $1 have died.","你的$0和$1死了。"
"text:family_died_3","Your $0, $1, and $2 have died.","你的$0、$1和$2死了。"
"text:family_died_4","Your $0, $1, $2, and $3 have died.","你的$0、$1、$2和$3死了。"
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","Your $0, $1, $2, $3, and $4 have died."
"text:family_escape_with_0","You leave behind everything.","你抛弃了一切。"
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","你带上你的$0逃往奥布里斯坦。"
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","你带上你的$0和$1逃往奥布里斯坦。"
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","你带上你的$0、$1和$2逃往奥布里斯坦。"
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","你带上你的$0、$1、$2和$3逃往奥布里斯坦。"
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","你带上你的$0、$1、$2、$3和$4逃往奥布里斯坦。"
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","你的$0准备回到尼尔斯克去。"
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","你的$0和$1准备回到尼尔斯克去。"
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","你的$0、$1和$2准备回到尼尔斯克去。"
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","你的$0、$1、$2和$3准备回到尼尔斯克去。"
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","你的$0、$1、$2、$3和$4准备回到尼尔斯克去。"
"text:family_flee_final_0","Obristan Above All","奥布里斯坦高于一切"
"text:family_flee_final_1","The safety of your $0 is unknown.","你仍然不清楚你的$0是否安全。"
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","你仍然不清楚你的$0和$1是否安全。"
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","你仍然不清楚你的$0、$1和$2是否安全。"
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","你仍然不清楚你的$0、$1、$2和$3是否安全。"
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","你仍然不清楚你的$0、$1、$2、$3和$4是否安全。"
"text:budget_savings","SAVINGS","存款"
"text:budget_salary","SALARY ($0)","工资（$0）"
"text:budget_penalties","PENALTIES ($0)","罚款（$0）"
"text:budget_bribes","BRIBES","贿赂"
"text:budget_rent","RENT","租金"
"text:budget_food","FOOD","食物"
"text:budget_heat","HEAT","暖气"
"text:budget_medicine","MEDICINE ($0)","药物（$0）"
"text:budget_sleep","SLEEP","睡觉"
"text:budget_escape","ESCAPE","逃跑"
"text:menu_back","BACK","后退"
"text:confirm_ok","OKAY","好的"
"text:confirm_cancel","CANCEL","取消"
"text:menu_mainmenu","MAIN MENU","主菜单"
"text:menu_resume","RESUME","回到游戏"
"text:menu_quit","QUIT","退出"
"text:menu_done","DONE","完成"
"text:menu_story","STORY","故事模式"
"text:menu_endless","ENDLESS","无尽模式"
"text:menu_play","PLAY","开始"
"text:menu_fullscreen","Fullscreen","全屏"
"text:menu_nudity","Nudity","裸体"
"text:menu_easy","Easy Mode","简单模式"
"text:menu_music","Music","音乐"
"text:menu_sound","Sound","声效"
"text:menu_dateformat","Date Format","日期格式"
"text:menu_language","Language","语言"
"text:menu_easytip","+ 20 credits per day","+ 20 分每天"
"text:menu_stats","STATS","状态"
"text:menu_next","NEXT","下一个"
"text:menu_walktowork","WALK TO WORK","走去上班"
"text:menu_paused","PAUSED","暂停"
"text:menu_settings","SETTINGS","设置"
"text:menu_credits","CREDITS","制作人员"
"text:menu_checkforupdates","CHECK FOR UPDATES","检查更新"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","已经玩了$time
检查了$processed个游客
批准了$approved个人
拒签了$denied个人
扣押了$detained个人
得到了$citations条传讯
盖了$stamps个章
看了$endnum分之$endtotal个结局"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAM连接失败

如果持续发生这个问题，请重新安装Steam客户端。"
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","STEAM重启失败

如果持续发生这个问题，请重新安装Steam客户端。"
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAM连接失败

游戏尝试会通过Steam客户端重新启动。"
"text:steam_restart","RESTART","重新启动"
"text:load_title","Select day to continue or start a new game","请选择从哪一天继续游戏或重新开始新的游戏"
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","删除这一天 $0 的存档？

此操作不可取消。"
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","删除从 $0 到 $1 这天的存档？

此操作不可取消。"
"text:load_delete","DELETE","删除"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.","存档已满。

继续存入最右的存档或删除一个存档释放存档空间。"
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","第$day天
""$news""

$savings 存款, $family 位家庭成员,
$tokens 代币, 公寓 $apt"
"text:load_continue","CONTINUE","继续"
"text:emotion_happy","HAPPY","开心"
"text:emotion_ok","OK","一般"
"text:emotion_sad","SAD","悲伤"
"text:emotion_cold","COLD","冷"
"text:emotion_sick","SICK","生病"
"text:emotion_verysick","VERY SICK","重病"
"text:emotion_dead","DEAD","死亡"
"text:emotion_hungry","HUNGRY","饥饿"
"text:load_latest","LATEST","最近的"
"text:entry_approved","ENTRY GRANTED","准许入境"
"text:entry_denied","ENTRY DENIED","拒绝入境"
"text:stamp_approved","APPROVED","批准"
"text:stamp_denied","DENIED","拒签"
"text:stamp_reason","REASON","理由"
"text:booth_dragdocs","DRAG DOCUMENTS HERE","拖动文件至此"
"text:booth_highlight","HIGHLIGHT DISCREPANCIES","指出差异之处"
"text:booth_discrepancy","DISCREPANCY
DETECTED","发现差异"
"text:booth_interrogate","INTERROGATE","审问"
"text:booth_matching","MATCHING
DATA","匹配信息中"
"text:booth_nocorrelation","NO
CORRELATION","没有关联"
"text:booth_cleared","DISCREPANCY
CLEARED","差异消除"
"text:env_clearforentry","Applicant clear for entry","申请人可以入境"
"text:env_lettermale","M","男"
"text:env_letterfemale","F","女"
"text:env_noalias","No known alias","无已知的别名"
"text:env_typochars","aeiou,iuy,pgq,lj,ck,bh","aeiou,iuy,pgq,lj,ck,bh"
"text:endless_complete","$style
$course

$time
$score Points","$style
$course

$time
$score 分"
"text:endless_ranked","Ranked #$0","排名第 #$0 位"
"text:endless_unlock","Complete story mode with your job intact to unlock endless mode","完成故事模式并保有工作以开启无尽模式"
"text:endless_wrongcode","S O R R Y","S O R R Y"
"text:date_verbose","$month $day, $year","$month $day, $year"
"text:month_1","January","一月"
"text:month_2","February","二月"
"text:month_3","March","三月"
"text:month_4","April","四月"
"text:month_5","May","五月"
"text:month_6","June","六月"
"text:month_7","July","七月"
"text:month_8","August","八月"
"text:month_9","September","九月"
"text:month_10","October","十月"
"text:month_11","November","十一月"
"text:month_12","December","十二月"
"text:day_1","1st","1号"
"text:day_2","2nd","2号"
"text:day_3","3rd","3号"
"text:day_4","4th","4号"
"text:day_5","5th","5号"
"text:day_6","6th","6号"
"text:day_7","7th","7号"
"text:day_8","8th","8号"
"text:day_9","9th","9号"
"text:day_10","10th","10号"
"text:day_11","11th","11号"
"text:day_12","12th","12号"
"text:day_13","13th","13号"
"text:day_14","14th","14号"
"text:day_15","15th","15号"
"text:day_16","16th","16号"
"text:day_17","17th","17号"
"text:day_18","18th","18号"
